relative_path	type	size_bytes	sha256_or_link	classification	evidence	fix_branch	archive_branch	fix_ignore_allowed
Testing/Temporary/CTestCostData.txt	ASCII text 	4	f52d711103d50a437830c6fbcd04fb4bab49a0f82f6d26d1c791c6e8488dd090	G	CTest临时状态或日志；不参与运行	no	yes	yes
Testing/Temporary/LastTest.log	ASCII text 	121	08ac05b4287a9ec1b4cc884e3e32227464cc0e0ffe945e619482ffdb9bfae4a3	G	CTest临时状态或日志；不参与运行	no	yes	yes
artifacts/field_validation/stage10_second_blind_20260803_185838/blind_result.json	JSON data 	555	4bb8316a7cd243e6396b4b3c77c21bc00dd4d7a2d719f8b9bc7c54653bc02d72	E	现场验证图片或JSON结果；无tracked固定路径引用	no	yes	yes
artifacts/field_validation/stage10_second_blind_20260803_185838/blind_test_screenshot.png	PNG image data, 960 x 540, 8-bit/color RGB, non-interlaced 	584438	eb1479bb5b3e3d73c9d6cf57fb6a206af272fb4f7ef43b4e9c9679fc8970b648	E	现场验证图片或JSON结果；无tracked固定路径引用	no	yes	yes
artifacts/field_validation/stage10_second_blind_20260803_185838/bridge.log	ASCII text 	426	457aeced4aa734fd7ae6395d6af29d4aac76634d4788aee2ba72606619418c14	G	现场验证运行日志；无tracked固定路径引用	no	yes	yes
artifacts/field_validation/stage10_second_blind_20260803_185838/detector.log	ASCII text 	267	f6f647c86b77e3345aad0053a423f4a466e5e1a616f8c094f2d9a76edebcfada	G	现场验证运行日志；无tracked固定路径引用	no	yes	yes
artifacts/field_validation/stage5_place_1_20260803_183751/capture_calibrated_report.json	JSON data 	18311	9fb22d33df267d3943268338866c7c6c38589405e33ccf9c645333760583ee67	E	现场验证图片或JSON结果；无tracked固定路径引用	no	yes	yes
artifacts/field_validation/stage5_place_1_20260803_183751/metadata.json	JSON data 	22027	2673f93d20ed833b5ae6b00d276b7ea92b0cedccfe276067a43ec2e1e8618a06	E	现场验证图片或JSON结果；无tracked固定路径引用	no	yes	yes
artifacts/field_validation/stage5_place_1_20260803_183751/normalized_mask/place_1_001.png	PNG image data, 128 x 128, 8-bit grayscale, non-interlaced 	968	46a590eb98d4c4b565713685c11ff2f0be0536b061e827d94ad584c6e96a18d9	E	现场验证图片或JSON结果；无tracked固定路径引用	no	yes	yes
artifacts/field_validation/stage5_place_1_20260803_183751/normalized_mask/place_1_002.png	PNG image data, 128 x 128, 8-bit grayscale, non-interlaced 	968	ba693cc8b49aff066ce35a3c6e4707b20833f1a00aa2d54336ec35bb902fa9af	E	现场验证图片或JSON结果；无tracked固定路径引用	no	yes	yes
